ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Puchase Amounts,Subscription Start Date,Subscription Expiration,Duration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform (App = 0),Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,App Start,App Other,App Completed,App NULL,App Onboarding,App Launch Times
156,CHI,0,0,1,26.95,3/20/2020,6/24/2020,96,0,1,1,Europe,1,1,1,1,27,21,20,3,2,4,2,2,0,0,4
157,ENG,0,0,1,0,4/28/2019,3/11/2021,683,0,1,0,Other,1,1,1,1,7,5,0,2,0,185,141,137,0,0,281
159,FRA,0,1,0,#VALUE!,3/20/2020,3/5/2021,350,0,1,1,US/Canada,1,0,1,1,24,0,0,0,0,1,6,4,0,0,8
160,ESP,0,0,0,#VALUE!,7/11/2019,10/11/2019,92,1,0,0,Other,1,0,1,1,102,12,0,7,0,23,12,20,0,0,30
161,ITA,0,0,0,#VALUE!,11/15/2019,5/29/2020,196,0,1,1,US/Canada,1,1,1,1,7,0,0,0,0,77,72,53,0,0,84
162,POR,0,0,0,#VALUE!,11/10/2019,2/10/2020,92,1,0,0,Other,1,0,0,1,0,0,0,0,0,67,67,64,0,0,66
165,FRA,0,1,0,#VALUE!,10/23/2019,4/23/2020,183,1,0,1,Europe,1,0,0,1,0,0,0,0,0,35,38,46,0,0,51
166,ALL,0,1,0,#VALUE!,3/20/2020,3/23/2021,368,0,1,1,US/Canada,1,0,1,1,10,0,0,0,0,6,7,4,0,0,6
167,JPN,0,0,1,9.59,3/28/2019,3/28/2021,731,0,0,0,Europe,1,1,0,1,21,21,4,3,1,38,41,38,0,0,48
168,ENG,0,0,0,#VALUE!,3/24/2020,6/24/2020,92,1,0,1,US/Canada,1,0,1,1,14,12,0,1,0,2,2,1,0,0,1
170,ITA,0,0,1,0,4/25/2019,7/25/2019,91,1,0,0,US/Canada,1,1,0,1,0,0,0,0,0,2,3,2,0,0,8
171,ESC,0,1,1,13.43,1/16/2019,5/17/2020,487,0,0,1,Europe,1,1,1,1,9,8,8,2,2,0,7,0,0,0,0
172,ESP,0,1,1,79,4/13/2019,1/13/2020,275,1,0,0,US/Canada,1,0,1,1,141,5,1,5,1,4,33,29,0,0,30
174,FRA,0,0,1,37.77,8/30/2019,11/30/2019,92,0,0,0,US/Canada,1,1,0,1,0,0,0,0,0,10,12,6,0,0,16
176,CHI,0,0,0,#VALUE!,9/8/2019,3/8/2020,182,1,0,0,US/Canada,1,1,0,1,5,2,2,1,1,11,17,12,0,0,17
177,EBR,0,0,1,97.9,10/20/2019,10/20/2020,366,0,0,0,Europe,1,1,0,1,0,0,0,0,0,31,12,20,0,0,29
179,JPN,0,1,0,#VALUE!,3/22/2020,2/23/2021,338,0,1,1,US/Canada,1,1,1,1,1,1,1,1,1,2,4,1,0,0,3
180,ESP,0,1,1,35.97,7/11/2019,7/14/2020,369,0,1,1,US/Canada,1,1,1,1,8,5,0,1,0,15,25,23,0,0,37
183,NED,0,0,1,35.97,1/16/2020,4/19/2020,94,0,0,0,US/Canada,1,1,1,1,28,24,17,7,3,12,7,19,0,0,11
184,ENG,0,0,1,118.8,3/23/2020,9/23/2020,184,0,0,1,Europe,1,1,1,1,9,9,0,4,0,4,7,1,0,0,9
185,VIE,0,0,0,#VALUE!,3/2/2020,6/16/2020,106,0,1,1,Other,1,0,1,1,0,0,0,0,0,5,8,5,0,0,7
186,ESP,0,0,1,132,8/29/2019,8/29/2021,731,1,0,0,Europe,1,1,0,1,60,60,60,1,1,21,35,26,0,0,34
187,ALL,0,0,1,99,3/15/2020,3/15/2021,365,0,1,1,US/Canada,1,1,0,1,2,2,0,1,0,8,5,5,0,0,8
188,DEU,0,1,0,#VALUE!,2/13/2019,2/13/2020,365,1,0,0,Europe,1,0,0,1,0,0,0,0,0,45,43,81,0,0,108
189,JPN,0,0,1,53.9,9/26/2019,3/26/2020,182,1,0,0,Europe,1,0,0,1,0,0,0,0,0,9,14,9,0,0,12
190,DEU,0,1,1,119,10/21/2018,4/21/2020,548,0,0,1,US/Canada,1,1,1,1,2,1,0,1,0,5,5,3,0,0,12
191,ENG,0,0,1,0,6/5/2019,12/5/2019,183,1,0,0,US/Canada,1,1,1,1,215,141,0,129,0,59,44,74,0,0,80
192,ESP,0,1,0,#VALUE!,1/4/2020,7/4/2020,182,1,0,1,US/Canada,1,0,1,1,6,0,0,0,0,4,6,5,0,0,11
193,FRA,0,1,0,#VALUE!,12/4/2019,6/4/2020,183,1,0,0,Other,1,0,0,1,0,0,0,0,0,8,9,5,0,0,23
194,ESP,0,0,1,38.81,8/16/2019,11/16/2019,92,1,0,0,US/Canada,1,0,1,1,150,1,0,1,0,20,23,16,0,0,20
195,DEU,0,1,1,91.51,1/12/2020,7/12/2020,182,0,0,1,Other,0,1,0,0,3,2,0,1,0,0,0,0,1,0,0
196,ESP,0,1,0,#VALUE!,3/24/2020,2/17/2021,330,0,1,1,US/Canada,1,0,1,1,5,0,0,0,0,36,39,48,0,0,57
197,DEU,0,0,1,58.74,1/31/2019,5/25/2020,480,1,0,0,Europe,1,0,0,1,0,0,0,0,0,11,49,46,0,0,50
198,FRA,0,0,0,#VALUE!,3/23/2020,2/23/2021,337,1,0,1,US/Canada,1,0,1,1,11,4,0,4,0,6,20,17,0,0,17
199,GRK,0,0,1,0,4/6/2019,10/6/2019,183,1,0,0,US/Canada,1,0,0,1,5,5,0,3,0,32,20,119,0,0,124
200,FRA,0,0,1,38.25,1/28/2020,4/28/2020,91,1,0,0,US/Canada,1,0,1,1,43,3,0,2,0,41,19,21,0,0,31
202,CHI,0,0,1,81.95,7/22/2019,1/22/2020,184,0,0,0,Europe,1,1,0,1,0,0,0,0,0,42,30,39,0,0,43
203,ITA,0,0,1,0,1/9/2019,1/9/2020,365,0,0,0,US/Canada,1,1,0,1,0,0,0,0,0,35,32,66,0,0,60
204,ENG,0,0,0,#VALUE!,3/22/2020,7/15/2020,115,1,0,1,Other,1,0,1,1,2,0,0,0,0,28,22,20,0,0,32
205,ENG,0,1,1,119,8/7/2019,8/7/2020,366,1,0,1,US/Canada,1,0,1,1,4,0,0,0,0,53,54,29,0,0,58
206,FRA,0,0,0,#VALUE!,12/9/2019,3/9/2020,91,1,0,0,US/Canada,1,0,0,1,0,0,0,0,0,7,7,3,0,0,10
207,ESP,0,1,0,#VALUE!,1/16/2020,7/16/2020,182,1,0,1,US/Canada,1,0,1,1,5,0,0,0,0,12,12,12,0,0,13
208,HEB,0,1,0,#VALUE!,3/25/2020,5/19/2020,55,1,0,1,US/Canada,1,0,1,1,12,0,0,0,0,39,72,67,0,0,109
209,ENG,0,1,0,#VALUE!,10/18/2019,7/18/2020,274,0,0,1,US/Canada,1,1,1,1,5,0,0,0,0,66,68,73,0,0,117
210,ESP,0,0,0,#VALUE!,3/23/2020,12/29/2020,281,1,0,1,US/Canada,1,0,1,1,7,0,0,0,0,55,56,52,0,0,61
211,DEU,0,0,1,0,11/25/2018,12/25/2018,30,0,0,0,Other,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
215,ESC,0,0,0,#VALUE!,1/26/2020,7/26/2020,182,1,0,1,US/Canada,1,0,0,1,0,0,0,0,0,14,15,12,0,0,17
216,POL,0,1,0,#VALUE!,3/23/2020,1/27/2021,310,1,0,1,Europe,1,0,0,1,1,0,0,0,0,82,80,139,0,0,120
217,ESP,0,1,1,169,10/2/2018,10/2/2020,731,0,0,1,US/Canada,0,1,1,1,0,0,0,0,0,1,4,0,0,0,6
218,FRA,0,0,1,48.95,9/12/2019,3/15/2020,185,0,1,0,Europe,1,1,0,1,0,0,0,0,0,37,11,6,0,0,21
219,DEU,0,0,1,35.97,2/9/2020,5/9/2020,90,1,0,1,US/Canada,1,1,1,1,12,1,0,1,0,14,1,2,0,0,12
220,ESP,0,1,0,#VALUE!,5/31/2019,5/31/2020,366,1,0,1,US/Canada,1,0,1,1,2,0,0,0,0,5,2,16,0,0,21
221,ESP,0,0,0,#VALUE!,8/2/2019,11/2/2019,92,1,0,0,US/Canada,1,0,1,1,184,11,0,7,0,8,5,5,0,0,8
223,FRA,0,1,0,#VALUE!,3/19/2020,1/26/2021,313,1,0,1,US/Canada,1,0,0,1,16,16,0,1,0,121,123,240,0,0,242
